time,coin,direction,entry_price,sl_price,tp_price,exit_price,pnl,result,exit_reason
2026-06-24 11:49:40,SOL,LONG,69.05,68.3595,70.431,70.431,4.0,WIN,TP
2026-06-24 13:12:34,BTC,LONG,62449.1,62011.9563,63385.83649999999,62011.9563,-1.4,LOSS,SL
2026-06-24 13:12:37,ETH,SHORT,1679.55,1696.3455,1654.35675,1654.35675,3.0,WIN,TP
2026-06-24 13:21:31,XRP,LONG,1.0903,1.079397,1.112106,1.079397,-2.0,LOSS,SL
2026-06-24 13:22:47,XRP,LONG,1.0866,1.075734,1.108332,1.075734,-2.0,LOSS,SL
2026-06-24 14:20:27,BTC,LONG,61337.1,60907.7403,62257.15649999999,60907.7403,-1.4,LOSS,SL
2026-06-24 15:33:19,DOGE,LONG,0.07682,0.0756677,0.0791246,0.0756677,-3.0,LOSS,SL
2026-06-24 15:33:41,SOL,LONG,68.88,68.1912,70.2576,68.1912,-2.0,LOSS,SL
2026-06-24 15:33:44,XRP,LONG,1.0754,1.064646,1.096908,1.064646,-2.0,LOSS,SL
2026-06-24 15:37:30,BNB,LONG,570.1,565.5392,580.3618,565.5392,-1.6,LOSS,SL
